distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
5,0.001,0.028,0,9,False,0.089679
5,0.001,0.028,1,9,False,0.029821
5,0.001,0.028,2,9,False,0.029154
5,0.001,0.028,3,9,False,0.029429
5,0.001,0.028,4,9,False,0.029789
5,0.001,0.028,5,9,False,0.029778
5,0.001,0.028,6,9,False,0.030073
5,0.001,0.028,7,9,False,0.029782
5,0.001,0.028,8,9,False,0.029763
5,0.001,0.028,9,9,False,0.030066
5,0.001,0.028,10,9,False,0.030034
5,0.001,0.028,11,9,False,0.029875
5,0.001,0.028,12,9,False,0.0301
5,0.001,0.028,13,9,False,0.028825
5,0.001,0.028,14,9,False,0.029017
5,0.001,0.028,15,9,False,0.029071
5,0.001,0.028,16,9,False,0.029098
5,0.001,0.028,17,9,False,0.030236
5,0.001,0.028,18,9,False,0.02897
5,0.001,0.028,19,9,False,0.029724
5,0.001,0.028,20,9,False,0.032886
5,0.001,0.028,21,9,False,0.033098
5,0.001,0.028,22,9,False,0.033017
5,0.001,0.028,23,9,False,0.031918
5,0.001,0.028,24,9,False,0.058198
5,0.001,0.028,25,9,False,0.029081
5,0.001,0.028,26,9,False,0.028866
5,0.001,0.028,27,9,False,0.028592
5,0.001,0.028,28,9,False,0.028612
5,0.001,0.028,29,9,False,0.028561
5,0.001,0.028,30,9,False,0.028281
5,0.001,0.028,31,9,False,0.02796
5,0.001,0.028,32,9,False,0.030058
5,0.001,0.028,33,9,False,0.032485
5,0.001,0.028,34,9,False,0.03122
5,0.001,0.028,35,9,False,0.032706
5,0.001,0.028,36,9,False,0.032863
5,0.001,0.028,37,9,False,0.032396
5,0.001,0.028,38,9,False,0.031531
5,0.001,0.028,39,9,False,0.032072
5,0.001,0.028,40,9,False,0.030808
5,0.001,0.028,41,9,False,0.030922
5,0.001,0.028,42,9,False,0.031085
5,0.001,0.028,43,9,False,0.03113
5,0.001,0.028,44,9,False,0.030586
5,0.001,0.028,45,9,False,0.030939
5,0.001,0.028,46,9,False,0.030763
5,0.001,0.028,47,9,False,0.03147
5,0.001,0.028,48,9,False,0.03217
5,0.001,0.028,49,9,False,0.030707
5,0.001,0.028,50,9,False,0.0305
5,0.001,0.028,51,9,False,0.031065
5,0.001,0.028,52,9,False,0.031563
5,0.001,0.028,53,9,False,0.031467
5,0.001,0.028,54,9,False,0.031174
5,0.001,0.028,55,9,False,0.031771
5,0.001,0.028,56,9,False,0.030819
5,0.001,0.028,57,9,False,0.030972
5,0.001,0.028,58,9,False,0.030841
5,0.001,0.028,59,9,False,0.030515
5,0.001,0.028,60,9,False,0.030999
5,0.001,0.028,61,9,False,0.03142
5,0.001,0.028,62,9,False,0.030674
5,0.001,0.028,63,9,False,0.031345
5,0.001,0.028,64,9,False,0.031393
5,0.001,0.028,65,9,False,0.03102
5,0.001,0.028,66,9,False,0.030776
5,0.001,0.028,67,9,False,0.031925
5,0.001,0.028,68,9,False,0.03189
5,0.001,0.028,69,9,False,0.030217
5,0.001,0.028,70,9,False,0.030625
5,0.001,0.028,71,9,False,0.031313
5,0.001,0.028,72,9,False,0.031661
5,0.001,0.028,73,9,False,0.031395
5,0.001,0.028,74,9,False,0.031211
5,0.001,0.028,75,9,False,0.030737
5,0.001,0.028,76,9,False,0.031328
5,0.001,0.028,77,9,False,0.031413
5,0.001,0.028,78,9,False,0.065242
5,0.001,0.028,79,9,False,0.032422
5,0.001,0.028,80,9,False,0.033433
5,0.001,0.028,81,9,False,0.034015
5,0.001,0.028,82,9,False,0.033533
5,0.001,0.028,83,9,False,0.033758
5,0.001,0.028,84,9,False,0.03253
5,0.001,0.028,85,9,False,0.031059
5,0.001,0.028,86,9,False,0.031149
5,0.001,0.028,87,9,False,0.030861
5,0.001,0.028,88,9,False,0.030756
5,0.001,0.028,89,9,False,0.031405
5,0.001,0.028,90,9,False,0.030605
5,0.001,0.028,91,9,False,0.031641
5,0.001,0.028,92,9,False,0.030975
5,0.001,0.028,93,9,False,0.0309
5,0.001,0.028,94,9,False,0.030934
5,0.001,0.028,95,9,False,0.030603
5,0.001,0.028,96,9,False,0.030165
5,0.001,0.028,97,9,False,0.030849
5,0.001,0.028,98,9,False,0.030925
5,0.001,0.028,99,9,False,0.030774
