distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
5,0.001,belief_matching,0,9,False,6.69846
5,0.001,belief_matching,1,9,False,0.06113
5,0.001,belief_matching,2,9,False,0.056327
5,0.001,belief_matching,3,9,False,0.095098
5,0.001,belief_matching,4,9,False,0.080229
5,0.001,belief_matching,5,9,False,0.053858
5,0.001,belief_matching,6,9,False,0.092074
5,0.001,belief_matching,7,9,False,0.057664
5,0.001,belief_matching,8,9,False,0.057883
5,0.001,belief_matching,9,9,False,0.058266
5,0.001,belief_matching,10,9,False,0.056295
5,0.001,belief_matching,11,9,False,0.061602
5,0.001,belief_matching,12,9,False,0.100402
5,0.001,belief_matching,13,9,False,0.06084
5,0.001,belief_matching,14,9,False,0.095989
5,0.001,belief_matching,15,9,False,0.057933
5,0.001,belief_matching,16,9,False,0.096839
5,0.001,belief_matching,17,9,False,0.117778
5,0.001,belief_matching,18,9,False,0.094993
5,0.001,belief_matching,19,9,False,0.094033
5,0.001,belief_matching,20,9,False,0.057408
5,0.001,belief_matching,21,9,False,0.129519
5,0.001,belief_matching,22,9,False,0.140771
5,0.001,belief_matching,23,9,False,0.062858
5,0.001,belief_matching,24,9,False,0.093353
5,0.001,belief_matching,25,9,False,0.076971
5,0.001,belief_matching,26,9,False,0.118232
5,0.001,belief_matching,27,9,False,0.098849
5,0.001,belief_matching,28,9,False,0.093764
5,0.001,belief_matching,29,9,False,0.115401
5,0.001,belief_matching,30,9,False,0.049749
5,0.001,belief_matching,31,9,False,0.060552
5,0.001,belief_matching,32,9,False,0.093131
5,0.001,belief_matching,33,9,False,0.094199
5,0.001,belief_matching,34,9,False,0.072155
5,0.001,belief_matching,35,9,False,0.05283
5,0.001,belief_matching,36,9,False,0.142095
5,0.001,belief_matching,37,9,False,0.113061
5,0.001,belief_matching,38,9,False,0.091745
5,0.001,belief_matching,39,9,False,0.096434
5,0.001,belief_matching,40,9,False,0.071899
5,0.001,belief_matching,41,9,False,0.056951
5,0.001,belief_matching,42,9,False,0.05393
5,0.001,belief_matching,43,9,False,0.097538
5,0.001,belief_matching,44,9,False,0.046768
5,0.001,belief_matching,45,9,False,0.117708
5,0.001,belief_matching,46,9,False,0.080669
5,0.001,belief_matching,47,9,False,0.072427
5,0.001,belief_matching,48,9,False,0.083678
5,0.001,belief_matching,49,9,False,0.054179
5,0.001,belief_matching,50,9,False,0.050247
5,0.001,belief_matching,51,9,False,0.056097
5,0.001,belief_matching,52,9,False,0.094533
5,0.001,belief_matching,53,9,False,0.060946
5,0.001,belief_matching,54,9,False,0.062303
5,0.001,belief_matching,55,9,False,0.053331
5,0.001,belief_matching,56,9,False,0.056021
5,0.001,belief_matching,57,9,False,0.050384
5,0.001,belief_matching,58,9,False,0.106536
5,0.001,belief_matching,59,9,False,0.058009
5,0.001,belief_matching,60,9,False,0.056974
5,0.001,belief_matching,61,9,False,0.059544
5,0.001,belief_matching,62,9,False,0.051872
5,0.001,belief_matching,63,9,False,0.10933
5,0.001,belief_matching,64,9,False,0.093608
5,0.001,belief_matching,65,9,False,0.142394
5,0.001,belief_matching,66,9,False,0.077469
5,0.001,belief_matching,67,9,False,0.092897
5,0.001,belief_matching,68,9,False,0.095203
5,0.001,belief_matching,69,9,False,0.074983
5,0.001,belief_matching,70,9,False,0.054276
5,0.001,belief_matching,71,9,False,0.057681
5,0.001,belief_matching,72,9,False,0.114919
5,0.001,belief_matching,73,9,False,0.080332
5,0.001,belief_matching,74,9,False,0.092249
5,0.001,belief_matching,75,9,False,0.080551
5,0.001,belief_matching,76,9,False,0.084534
5,0.001,belief_matching,77,9,False,0.060709
5,0.001,belief_matching,78,9,False,0.095535
5,0.001,belief_matching,79,9,False,0.05499
5,0.001,belief_matching,80,9,False,0.112014
5,0.001,belief_matching,81,9,False,0.088932
5,0.001,belief_matching,82,9,False,0.077237
5,0.001,belief_matching,83,9,False,0.053017
5,0.001,belief_matching,84,9,False,0.090987
5,0.001,belief_matching,85,9,False,0.092707
5,0.001,belief_matching,86,9,False,0.094273
5,0.001,belief_matching,87,9,False,0.056114
5,0.001,belief_matching,88,9,False,0.09995
5,0.001,belief_matching,89,9,False,0.076019
5,0.001,belief_matching,90,9,False,0.100991
5,0.001,belief_matching,91,9,False,0.115051
5,0.001,belief_matching,92,9,False,0.079637
5,0.001,belief_matching,93,9,False,0.057906
5,0.001,belief_matching,94,9,False,0.069528
5,0.001,belief_matching,95,9,False,0.077124
5,0.001,belief_matching,96,9,False,0.05848
5,0.001,belief_matching,97,9,False,0.091527
5,0.001,belief_matching,98,9,False,0.089157
5,0.001,belief_matching,99,9,False,0.054867
