algorithm_latency_us,round_period_us,window_id,read_lo,read_hi,commit_lo,commit_hi,first_qpu_send_us,last_qpu_send_us,first_buffer0_us,buffer0_ready_us,dependency_arrival_us,queued_us,dispatch_us,cwd_arrival_us,decode_done_us,dd_delivery_us,wdo_delivery_us,frame_commit_us,dependency_block_us,buffer0_ready_to_frame_us,qpu_last_round_to_frame_us
0.028,10.0,0,1,6,1,3,10.0,60.0,11.5,61.5,,61.5,61.5,62.5,62.556,63.056,63.556,63.56,0.0,2.06,3.56
0.028,10.0,1,4,9,4,6,40.0,90.0,41.5,91.5,63.056,91.5,91.5,92.5,92.556,93.056,93.556,93.56,0.0,2.06,3.56
0.028,10.0,2,7,12,7,9,70.0,120.0,71.5,121.5,93.056,121.5,121.5,122.5,122.556,123.056,123.556,123.56,0.0,2.06,3.56
0.028,10.0,3,10,15,10,12,100.0,150.0,101.5,151.5,123.056,151.5,151.5,152.5,152.556,153.056,153.556,153.56,0.0,2.06,3.56
0.028,10.0,4,13,18,13,15,130.0,180.0,131.5,181.5,153.056,181.5,181.5,182.5,182.556,183.056,183.556,183.56,0.0,2.06,3.56
0.028,10.0,5,16,21,16,18,160.0,210.0,161.5,211.5,183.056,211.5,211.5,212.5,212.556,213.056,213.556,213.56,0.0,2.06,3.56
0.028,10.0,6,19,24,19,21,190.0,240.0,191.5,241.5,213.056,241.5,241.5,242.5,242.556,243.056,243.556,243.56,0.0,2.06,3.56
0.028,10.0,7,22,27,22,24,220.0,270.0,221.5,271.5,243.056,271.5,271.5,272.5,272.556,273.056,273.556,273.56,0.0,2.06,3.56
0.028,10.0,8,25,30,25,27,250.0,300.0,251.5,301.5,273.056,301.5,301.5,302.5,302.556,303.056,303.556,303.56,0.0,2.06,3.56
0.028,10.0,9,28,33,28,30,280.0,330.0,281.5,331.5,303.056,331.5,331.5,332.5,332.556,333.056,333.556,333.56,0.0,2.06,3.56
0.028,10.0,10,31,36,31,33,310.0,360.0,311.5,361.5,333.056,361.5,361.5,362.5,362.556,363.056,363.556,363.56,0.0,2.06,3.56
0.028,10.0,11,34,39,34,36,340.0,390.0,341.5,391.5,363.056,391.5,391.5,392.5,392.556,393.056,393.556,393.56,0.0,2.06,3.56
0.028,10.0,12,37,42,37,39,370.0,420.0,371.5,421.5,393.056,421.5,421.5,422.5,422.556,423.056,423.556,423.56,0.0,2.06,3.56
0.028,10.0,13,40,45,40,42,400.0,450.0,401.5,451.5,423.056,451.5,451.5,452.5,452.556,453.056,453.556,453.56,0.0,2.06,3.56
0.028,10.0,14,43,48,43,45,430.0,480.0,431.5,481.5,453.056,481.5,481.5,482.5,482.556,483.056,483.556,483.56,0.0,2.06,3.56
0.028,10.0,15,46,51,46,48,460.0,510.0,461.5,511.5,483.056,511.5,511.5,512.5,512.556,513.056,513.556,513.56,0.0,2.06,3.56
0.028,10.0,16,49,54,49,51,490.0,540.0,491.5,541.5,513.056,541.5,541.5,542.5,542.556,543.056,543.556,543.56,0.0,2.06,3.56
0.028,10.0,17,52,57,52,54,520.0,570.0,521.5,571.5,543.056,571.5,571.5,572.5,572.556,573.056,573.556,573.56,0.0,2.06,3.56
0.028,10.0,18,55,60,55,60,550.0,600.0,551.5,601.5,573.056,601.5,601.5,602.5,602.556,,603.556,603.56,0.0,2.06,3.56
0.028,5.0,0,1,6,1,3,5.0,30.0,6.5,31.5,,31.5,31.5,32.5,32.556,33.056,33.556,33.56,0.0,2.06,3.56
0.028,5.0,1,4,9,4,6,20.0,45.0,21.5,46.5,33.056,46.5,46.5,47.5,47.556,48.056,48.556,48.56,0.0,2.06,3.56
0.028,5.0,2,7,12,7,9,35.0,60.0,36.5,61.5,48.056,61.5,61.5,62.5,62.556,63.056,63.556,63.56,0.0,2.06,3.56
0.028,5.0,3,10,15,10,12,50.0,75.0,51.5,76.5,63.056,76.5,76.5,77.5,77.556,78.056,78.556,78.56,0.0,2.06,3.56
0.028,5.0,4,13,18,13,15,65.0,90.0,66.5,91.5,78.056,91.5,91.5,92.5,92.556,93.056,93.556,93.56,0.0,2.06,3.56
0.028,5.0,5,16,21,16,18,80.0,105.0,81.5,106.5,93.056,106.5,106.5,107.5,107.556,108.056,108.556,108.56,0.0,2.06,3.56
0.028,5.0,6,19,24,19,21,95.0,120.0,96.5,121.5,108.056,121.5,121.5,122.5,122.556,123.056,123.556,123.56,0.0,2.06,3.56
0.028,5.0,7,22,27,22,24,110.0,135.0,111.5,136.5,123.056,136.5,136.5,137.5,137.556,138.056,138.556,138.56,0.0,2.06,3.56
0.028,5.0,8,25,30,25,27,125.0,150.0,126.5,151.5,138.056,151.5,151.5,152.5,152.556,153.056,153.556,153.56,0.0,2.06,3.56
0.028,5.0,9,28,33,28,30,140.0,165.0,141.5,166.5,153.056,166.5,166.5,167.5,167.556,168.056,168.556,168.56,0.0,2.06,3.56
0.028,5.0,10,31,36,31,33,155.0,180.0,156.5,181.5,168.056,181.5,181.5,182.5,182.556,183.056,183.556,183.56,0.0,2.06,3.56
0.028,5.0,11,34,39,34,36,170.0,195.0,171.5,196.5,183.056,196.5,196.5,197.5,197.556,198.056,198.556,198.56,0.0,2.06,3.56
0.028,5.0,12,37,42,37,39,185.0,210.0,186.5,211.5,198.056,211.5,211.5,212.5,212.556,213.056,213.556,213.56,0.0,2.06,3.56
0.028,5.0,13,40,45,40,42,200.0,225.0,201.5,226.5,213.056,226.5,226.5,227.5,227.556,228.056,228.556,228.56,0.0,2.06,3.56
0.028,5.0,14,43,48,43,45,215.0,240.0,216.5,241.5,228.056,241.5,241.5,242.5,242.556,243.056,243.556,243.56,0.0,2.06,3.56
0.028,5.0,15,46,51,46,48,230.0,255.0,231.5,256.5,243.056,256.5,256.5,257.5,257.556,258.056,258.556,258.56,0.0,2.06,3.56
0.028,5.0,16,49,54,49,51,245.0,270.0,246.5,271.5,258.056,271.5,271.5,272.5,272.556,273.056,273.556,273.56,0.0,2.06,3.56
0.028,5.0,17,52,57,52,54,260.0,285.0,261.5,286.5,273.056,286.5,286.5,287.5,287.556,288.056,288.556,288.56,0.0,2.06,3.56
0.028,5.0,18,55,60,55,60,275.0,300.0,276.5,301.5,288.056,301.5,301.5,302.5,302.556,,303.556,303.56,0.0,2.06,3.56
0.028,2.0,0,1,6,1,3,2.0,12.0,3.5,13.5,,13.5,13.5,14.5,14.556,15.056,15.556,15.56,0.0,2.06,3.56
0.028,2.0,1,4,9,4,6,8.0,18.0,9.5,19.5,15.056,19.5,19.5,20.5,20.556,21.056,21.556,21.56,0.0,2.06,3.56
0.028,2.0,2,7,12,7,9,14.0,24.0,15.5,25.5,21.056,25.5,25.5,26.5,26.556,27.056,27.556,27.56,0.0,2.06,3.56
0.028,2.0,3,10,15,10,12,20.0,30.0,21.5,31.5,27.056,31.5,31.5,32.5,32.556,33.056,33.556,33.56,0.0,2.06,3.56
0.028,2.0,4,13,18,13,15,26.0,36.0,27.5,37.5,33.056,37.5,37.5,38.5,38.556,39.056,39.556,39.56,0.0,2.06,3.56
0.028,2.0,5,16,21,16,18,32.0,42.0,33.5,43.5,39.056,43.5,43.5,44.5,44.556,45.056,45.556,45.56,0.0,2.06,3.56
0.028,2.0,6,19,24,19,21,38.0,48.0,39.5,49.5,45.056,49.5,49.5,50.5,50.556,51.056,51.556,51.56,0.0,2.06,3.56
0.028,2.0,7,22,27,22,24,44.0,54.0,45.5,55.5,51.056,55.5,55.5,56.5,56.556,57.056,57.556,57.56,0.0,2.06,3.56
0.028,2.0,8,25,30,25,27,50.0,60.0,51.5,61.5,57.056,61.5,61.5,62.5,62.556,63.056,63.556,63.56,0.0,2.06,3.56
0.028,2.0,9,28,33,28,30,56.0,66.0,57.5,67.5,63.056,67.5,67.5,68.5,68.556,69.056,69.556,69.56,0.0,2.06,3.56
0.028,2.0,10,31,36,31,33,62.0,72.0,63.5,73.5,69.056,73.5,73.5,74.5,74.556,75.056,75.556,75.56,0.0,2.06,3.56
0.028,2.0,11,34,39,34,36,68.0,78.0,69.5,79.5,75.056,79.5,79.5,80.5,80.556,81.056,81.556,81.56,0.0,2.06,3.56
0.028,2.0,12,37,42,37,39,74.0,84.0,75.5,85.5,81.056,85.5,85.5,86.5,86.556,87.056,87.556,87.56,0.0,2.06,3.56
0.028,2.0,13,40,45,40,42,80.0,90.0,81.5,91.5,87.056,91.5,91.5,92.5,92.556,93.056,93.556,93.56,0.0,2.06,3.56
0.028,2.0,14,43,48,43,45,86.0,96.0,87.5,97.5,93.056,97.5,97.5,98.5,98.556,99.056,99.556,99.56,0.0,2.06,3.56
0.028,2.0,15,46,51,46,48,92.0,102.0,93.5,103.5,99.056,103.5,103.5,104.5,104.556,105.056,105.556,105.56,0.0,2.06,3.56
0.028,2.0,16,49,54,49,51,98.0,108.0,99.5,109.5,105.056,109.5,109.5,110.5,110.556,111.056,111.556,111.56,0.0,2.06,3.56
0.028,2.0,17,52,57,52,54,104.0,114.0,105.5,115.5,111.056,115.5,115.5,116.5,116.556,117.056,117.556,117.56,0.0,2.06,3.56
0.028,2.0,18,55,60,55,60,110.0,120.0,111.5,121.5,117.056,121.5,121.5,122.5,122.556,,123.556,123.56,0.0,2.06,3.56
0.028,1.0,0,1,6,1,3,1.0,6.0,2.5,7.5,,7.5,7.5,8.5,8.556,9.056,9.556,9.56,0.0,2.06,3.56
0.028,1.0,1,4,9,4,6,4.0,9.0,5.5,10.5,9.056,10.5,10.5,11.5,11.556,12.056,12.556,12.56,0.0,2.06,3.56
0.028,1.0,2,7,12,7,9,7.0,12.0,8.5,13.5,12.056,13.5,13.5,14.5,14.556,15.056,15.556,15.56,0.0,2.06,3.56
0.028,1.0,3,10,15,10,12,10.0,15.0,11.5,16.5,15.056,16.5,16.5,17.5,17.556,18.056,18.556,18.56,0.0,2.06,3.56
0.028,1.0,4,13,18,13,15,13.0,18.0,14.5,19.5,18.056,19.5,19.5,20.5,20.556,21.056,21.556,21.56,0.0,2.06,3.56
