depth,window,read_lo,read_hi,hand_ready_us,hand_transfer_start_us,sim_transfer_start_us,hand_land_us,sim_land_us,hand_done_us,sim_done_us
0,0,1,9,9.15,9.15,9.15,11.15,11.15,16.15,16.15
0,1,6,6,23.65,30.15,30.15,32.15,32.15,37.15,37.15
0,2,4,12,12.15,16.15,16.15,18.15,18.15,23.15,23.15
0,3,9,9,30.65,37.15,37.15,39.15,39.15,44.15,44.15
0,4,7,15,15.15,23.15,23.15,25.15,25.15,30.15,30.15
1,0,1,9,9.15,9.15,9.15,11.15,11.15,16.15,16.15
1,1,6,6,21.65,21.65,21.65,23.65,23.65,31.15,31.15
1,2,4,12,12.15,12.15,12.15,14.15,14.15,21.15,21.15
1,3,9,9,26.65,26.65,26.65,28.65,28.65,36.15,36.15
1,4,7,15,15.15,16.15,16.15,18.15,18.15,26.15,26.15
