physical_error_probability,algorithm_latency_us,round_period_us,shots,windows_per_shot,logical_failures,logical_error_rate,ler_wilson_low,ler_wilson_high,direct_pymatching_failures,prediction_mismatches_vs_direct,throughput_windows_per_us,throughput_rounds_per_us,decoder_utilization,max_queued_windows,load,sim_wall_seconds_per_shot,c2b_per_round_mean_us,c2b_per_round_median_us,c2b_per_round_p99_us,c2b_per_round_max_us,buffer_fill_mean_us,buffer_fill_median_us,buffer_fill_p99_us,buffer_fill_max_us,dep_block_mean_us,dep_block_median_us,dep_block_p99_us,dep_block_max_us,queue_wait_mean_us,queue_wait_median_us,queue_wait_p99_us,queue_wait_max_us,cwd_per_window_mean_us,cwd_per_window_median_us,cwd_per_window_p99_us,cwd_per_window_max_us,fetch_mean_us,fetch_median_us,fetch_p99_us,fetch_max_us,algorithm_mean_us,algorithm_median_us,algorithm_p99_us,algorithm_max_us,release_mean_us,release_median_us,release_p99_us,release_max_us,service_mean_us,service_median_us,service_p99_us,service_max_us,dd_per_window_mean_us,dd_per_window_median_us,dd_per_window_p99_us,dd_per_window_max_us,wdo_per_window_mean_us,wdo_per_window_median_us,wdo_per_window_p99_us,wdo_per_window_max_us,frame_commit_mean_us,frame_commit_median_us,frame_commit_p99_us,frame_commit_max_us,buffer0_ready_to_frame_mean_us,buffer0_ready_to_frame_median_us,buffer0_ready_to_frame_p99_us,buffer0_ready_to_frame_max_us,buffer0_first_round_to_frame_mean_us,buffer0_first_round_to_frame_median_us,buffer0_first_round_to_frame_p99_us,buffer0_first_round_to_frame_max_us,qpu_last_round_to_frame_mean_us,qpu_last_round_to_frame_median_us,qpu_last_round_to_frame_p99_us,qpu_last_round_to_frame_max_us,qpu_first_round_to_frame_mean_us,qpu_first_round_to_frame_median_us,qpu_first_round_to_frame_p99_us,qpu_first_round_to_frame_max_us
0.001,0.028,2.0,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.16582503102677992,0.4999749679199395,0.17511123276428017,1,0.2589145728643216,7.023433702648617,0.50008,0.50008,0.50008,0.50012,10.00000040201005,10.0,10.0,10.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,12.060000402010052,12.06,12.06,12.06004,3.560080201005025,3.56008,3.56008,3.56012,13.560080201005023,13.56008,13.56008,13.56012
0.001,0.028,1.5,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.2209735967865686,0.6662520506127698,0.23334811820661724,1,0.34521943048576215,7.001064396967801,0.50008,0.50008,0.50008,0.50012,7.500000402010049,7.5,7.5,7.50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,9.56000040201005,9.56,9.56,9.56004,3.560080201005025,3.56008,3.56008,3.56012,11.060080201005023,11.06008,11.06008,11.06012
0.001,0.028,1.2,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.2760591209323174,0.8323390580873892,0.2915184317045281,1,0.4315242881072027,6.989167690044269,0.50008,0.50008,0.50008,0.50012,6.000000402010049,6.0,6.0,6.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,8.06000040201005,8.06,8.06,8.06004,3.560080201005025,3.56008,3.56008,3.56012,9.560080201005023,9.56008,9.56008,9.56012
0.001,0.028,1.0,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.3310817114987906,0.9982363160767557,0.3496222873427241,1,0.5178291457286432,6.954355468352635,0.50008,0.50008,0.50008,0.50012,5.00000040201005,5.0,5.0,5.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,7.06000040201005,7.06,7.06,7.06004,3.560080201005025,3.56008,3.56008,3.56012,8.560080201005023,8.56008,8.56008,8.56012
0.001,0.028,0.9,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.3677285286823078,1.1087292322079634,0.38832132628851834,1,0.5753657174762702,6.918887855329861,0.50008,0.50008,0.50008,0.50012,4.50000040201005,4.5,4.5,4.50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,6.56000040201005,6.56,6.56,6.56004,3.560080201005025,3.56008,3.56008,3.56012,8.060080201005023,8.06008,8.06008,8.06012
0.001,0.028,0.8,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.41349783260643597,1.2467271334867416,0.4366537112323978,1,0.647286432160804,6.947050426349354,0.50008,0.50008,0.50008,0.50012,4.00000040201005,4.0,4.0,4.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,6.06000040201005,6.06,6.06,6.06004,3.560080201005025,3.56008,3.56008,3.56012,7.560080201005025,7.56008,7.56008,7.56012
0.001,0.028,0.7,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.4722801457603672,1.4239602384734689,0.49872783392294945,1,0.7397559224694904,7.007726766673538,0.50008,0.50008,0.50008,0.50012,3.5000004020100506,3.5,3.5,3.50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,5.56000040201005,5.56,5.56,5.56004,3.560080201005025,3.56008,3.56008,3.56012,7.060080201005025,7.06008,7.06008,7.06012
0.001,0.028,0.6,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.5505448900470558,1.6599343418504195,0.5813754038896929,1,0.8630485762144054,6.969378531017962,0.50008,0.50008,0.50008,0.50012,3.0000004020100506,3.0,3.0,3.00004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,5.06000040201005,5.06,5.06,5.06004,3.560080201005025,3.56008,3.56008,3.56012,6.560080201005025,6.56008,6.56008,6.56012
0.001,0.028,0.55,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.6002834061636979,1.8098997170764761,0.633899276908867,1,0.9415075376884422,7.041721050006648,0.50008,0.50008,0.50008,0.50012,2.7500004020100506,2.75,2.75,2.75004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,4.81000040201005,4.81,4.81,4.81004,3.560080201005025,3.56008,3.56008,3.56012,6.310080201005025,6.31008,6.31008,6.31012
0.001,0.028,0.52,3,199.0,0,0.0,0.0,0.5615060804490177,0,0,0.6346875971965051,1.9136309463211212,0.6702301026395117,1,0.9958252802473909,7.006506848692273,0.50008,0.50008,0.50008,0.50012,2.6000004020100502,2.6,2.6,2.60004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.024000000000000004,0.024,0.024,0.024,0.028,0.028,0.028,0.028,0.004,0.004,0.004,0.004,1.056,1.056,1.056,1.056,0.49748743718592964,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,2.06,2.06,2.06,2.06,4.66000040201005,4.66,4.66,4.66004,3.560080201005025,3.56008,3.56008,3.56012,6.160080201005026,6.16008,6.16008,6.16012
