physical_error_probability,algorithm_latency_us,round_period_us,shots,windows_per_shot,logical_failures,logical_error_rate,ler_wilson_low,ler_wilson_high,direct_pymatching_failures,prediction_mismatches_vs_direct,throughput_windows_per_us,throughput_rounds_per_us,decoder_utilization,max_queued_windows,load,sim_wall_seconds_per_shot,c2b_per_round_mean_us,c2b_per_round_median_us,c2b_per_round_p99_us,c2b_per_round_max_us,buffer_fill_mean_us,buffer_fill_median_us,buffer_fill_p99_us,buffer_fill_max_us,dep_block_mean_us,dep_block_median_us,dep_block_p99_us,dep_block_max_us,queue_wait_mean_us,queue_wait_median_us,queue_wait_p99_us,queue_wait_max_us,cwd_per_window_mean_us,cwd_per_window_median_us,cwd_per_window_p99_us,cwd_per_window_max_us,fetch_mean_us,fetch_median_us,fetch_p99_us,fetch_max_us,algorithm_mean_us,algorithm_median_us,algorithm_p99_us,algorithm_max_us,release_mean_us,release_median_us,release_p99_us,release_max_us,service_mean_us,service_median_us,service_p99_us,service_max_us,dd_per_window_mean_us,dd_per_window_median_us,dd_per_window_p99_us,dd_per_window_max_us,wdo_per_window_mean_us,wdo_per_window_median_us,wdo_per_window_p99_us,wdo_per_window_max_us,frame_commit_mean_us,frame_commit_median_us,frame_commit_p99_us,frame_commit_max_us,buffer0_ready_to_frame_mean_us,buffer0_ready_to_frame_median_us,buffer0_ready_to_frame_p99_us,buffer0_ready_to_frame_max_us,buffer0_first_round_to_frame_mean_us,buffer0_first_round_to_frame_median_us,buffer0_first_round_to_frame_p99_us,buffer0_first_round_to_frame_max_us,qpu_last_round_to_frame_mean_us,qpu_last_round_to_frame_median_us,qpu_last_round_to_frame_p99_us,qpu_last_round_to_frame_max_us,qpu_first_round_to_frame_mean_us,qpu_first_round_to_frame_median_us,qpu_first_round_to_frame_p99_us,qpu_first_round_to_frame_max_us
0.0001,0.81,2.2,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.0643127688841205,0.45397248624085057,0.1845715937309428,1,0.21844308632543924,35.866136237455066,0.1,0.1,0.1,0.1,28.548235294117646,28.6,28.6,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,32.42214117647058,32.474,32.474,32.474,4.123905882352941,4.124,4.124,4.124,32.67214117647058,32.724,32.724,32.724
0.0001,0.81,1.65,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.08566683060946406,0.604707039596217,0.24585574108863417,1,0.29125744843391904,35.85551870102063,0.1,0.1,0.1,0.1,21.411176470588234,21.45,21.45,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,25.285082352941178,25.324,25.324,25.324,4.123905882352941,4.124,4.124,4.124,25.535082352941178,25.574,25.574,25.574
0.0001,0.81,1.32,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.1069793315931362,0.7551482230103732,0.3070206130293277,1,0.3640718105423988,36.368781263998244,0.1,0.1,0.1,0.1,17.12894117647059,17.16,17.16,17.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,21.00284705882353,21.034,21.034,21.034,4.123905882352941,4.124,4.124,4.124,21.25284705882353,21.284,21.284,21.284
0.0001,0.81,1.1,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.128250393049734,0.9052968921157695,0.3680665574275087,1,0.4368861726508785,36.23051723756362,0.1,0.1,0.1,0.1,14.274117647058823,14.3,14.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,18.148023529411763,18.174,18.174,18.174,4.123905882352941,4.124,4.124,4.124,18.398023529411763,18.424,18.424,18.424
0.0001,0.81,0.9,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.15654755546387802,1.1050415679803156,0.4492767502937573,1,0.5339719887955182,36.167541038943455,0.1,0.1,0.1,0.1,11.678823529411764,11.7,11.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,15.552729411764705,15.574,15.574,15.574,4.123905882352941,4.124,4.124,4.124,15.802729411764705,15.824,15.824,15.824
0.0001,0.81,0.8,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.175959392712383,1.2420663014991742,0.5049868962005197,1,0.6007184873949579,36.375445449433755,0.1,0.1,0.1,0.1,10.381176470588235,10.4,10.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,14.255082352941177,14.274,14.274,14.274,4.123905882352941,4.124,4.124,4.124,14.505082352941177,14.524,14.524,14.524
0.0001,0.81,0.7,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.20086679931752552,1.41788328930018,0.5764688089307748,1,0.6865354141656663,36.835574081516825,0.1,0.1,0.1,0.1,9.083529411764706,9.1,9.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.873905882352941,3.874,3.874,3.874,12.957435294117648,12.974,12.974,12.974,4.123905882352941,4.124,4.124,4.124,13.207435294117648,13.224,13.224,13.224
0.0001,0.81,0.6,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.23375023375023374,1.6500016500016499,0.6708411708411715,1,0.8009579831932773,36.21099068649346,0.1,0.1,0.1,0.1,7.785882352941176,7.8,7.8,7.8,0.004352941176470588,0.0,0.0,0.37,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.8782588235294115,3.874,3.874,4.236,11.664141176470588,11.674,11.674,11.674,4.1282588235294115,4.124,4.124,4.486,11.914141176470588,11.924,11.924,11.924
0.0001,0.81,0.55,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.25453979205596283,1.7967514733362082,0.7305052465143029,1,0.873772345301757,36.18140101846075,0.1,0.1,0.1,0.1,7.1370588235294115,7.15,7.15,7.15,0.007294117647058823,0.0,0.0,0.62,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.8811999999999998,3.874,3.874,4.486,11.018258823529411,11.024,11.024,11.024,4.1312,4.124,4.124,4.736,11.268258823529411,11.274,11.274,11.274
0.0001,0.81,0.5,2,85.0,0,0.0,0.0,0.6576280471103807,0,0,0.27938836955521373,1.972153196860332,0.8018183252475061,1,0.9611495798319327,36.74049894994823,0.1,0.1,0.1,0.1,6.488235294117647,6.5,6.5,6.5,0.01023529411764706,0.0,0.0,0.87,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.05590588235294117,0.056,0.056,0.056,0.81,0.81,0.81,0.81,0.004,0.004,0.004,0.004,2.869905882352941,2.87,2.87,2.87,0.49411764705882355,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.004,0.004,0.004,0.004,3.884141176470588,3.874,3.874,4.736,10.372376470588236,10.374,10.374,10.374,4.134141176470588,4.124,4.124,4.986,10.622376470588236,10.624,10.624,10.624
