distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
11,0.002,0.028,0,9,False,1.033776
11,0.002,0.028,1,9,False,0.294809
11,0.002,0.028,2,9,False,0.292079
11,0.002,0.028,3,9,False,0.288003
11,0.002,0.028,4,9,False,0.282637
11,0.002,0.028,5,9,False,0.343512
11,0.002,0.028,6,9,False,0.305072
11,0.002,0.028,7,9,False,0.298613
11,0.002,0.028,8,9,False,0.295265
11,0.002,0.028,9,9,False,0.29911
11,0.002,0.028,10,9,False,0.296507
11,0.002,0.028,11,9,False,0.296915
11,0.002,0.028,12,9,False,0.299684
11,0.002,0.028,13,9,False,0.297709
11,0.002,0.028,14,9,False,0.338251
11,0.002,0.028,15,9,False,0.291294
11,0.002,0.028,16,9,False,0.290315
11,0.002,0.028,17,9,False,0.292733
11,0.002,0.028,18,9,False,0.299392
11,0.002,0.028,19,9,False,0.290096
11,0.002,0.028,20,9,False,0.294734
11,0.002,0.028,21,9,False,0.30224
11,0.002,0.028,22,9,False,0.296531
11,0.002,0.028,23,9,False,0.29271
11,0.002,0.028,24,9,False,0.338409
11,0.002,0.028,25,9,False,0.295428
11,0.002,0.028,26,9,False,0.29005
11,0.002,0.028,27,9,False,0.297215
11,0.002,0.028,28,9,False,0.30155
11,0.002,0.028,29,9,False,0.294865
11,0.002,0.028,30,9,False,0.295796
11,0.002,0.028,31,9,False,0.294723
11,0.002,0.028,32,9,False,0.285932
11,0.002,0.028,33,9,False,0.298902
11,0.002,0.028,34,9,False,0.329807
11,0.002,0.028,35,9,False,0.301025
11,0.002,0.028,36,9,False,0.296059
11,0.002,0.028,37,9,False,0.302251
11,0.002,0.028,38,9,False,0.298261
11,0.002,0.028,39,9,False,0.293386
11,0.002,0.028,40,9,False,0.323602
11,0.002,0.028,41,9,False,0.30691
11,0.002,0.028,42,9,False,0.296364
11,0.002,0.028,43,9,False,0.285165
11,0.002,0.028,44,9,False,0.330031
11,0.002,0.028,45,9,False,0.287205
11,0.002,0.028,46,9,False,0.297423
11,0.002,0.028,47,9,False,0.298007
11,0.002,0.028,48,9,False,0.29459
11,0.002,0.028,49,9,False,0.302689
11,0.002,0.028,50,9,False,0.299067
11,0.002,0.028,51,9,False,0.288448
11,0.002,0.028,52,9,False,0.290658
11,0.002,0.028,53,9,False,0.328601
11,0.002,0.028,54,9,False,0.294234
11,0.002,0.028,55,9,False,0.291758
11,0.002,0.028,56,9,False,0.301693
11,0.002,0.028,57,9,False,0.293044
11,0.002,0.028,58,9,False,0.288951
11,0.002,0.028,59,9,False,0.292011
11,0.002,0.028,60,9,False,0.288884
11,0.002,0.028,61,9,False,0.288009
11,0.002,0.028,62,9,False,0.284545
11,0.002,0.028,63,9,False,0.329336
11,0.002,0.028,64,9,False,0.292086
11,0.002,0.028,65,9,False,0.290599
11,0.002,0.028,66,9,False,0.295252
11,0.002,0.028,67,9,False,0.293608
11,0.002,0.028,68,9,False,0.290271
11,0.002,0.028,69,9,False,0.293197
11,0.002,0.028,70,9,False,0.288832
11,0.002,0.028,71,9,False,0.295856
11,0.002,0.028,72,9,False,0.292477
11,0.002,0.028,73,9,False,0.323989
11,0.002,0.028,74,9,False,0.300964
11,0.002,0.028,75,9,False,0.30219
11,0.002,0.028,76,9,False,0.314139
11,0.002,0.028,77,9,False,0.300983
11,0.002,0.028,78,9,False,0.297339
11,0.002,0.028,79,9,False,0.301326
11,0.002,0.028,80,9,False,0.293215
11,0.002,0.028,81,9,False,0.292788
11,0.002,0.028,82,9,False,0.287442
11,0.002,0.028,83,9,False,0.341785
11,0.002,0.028,84,9,False,0.307646
11,0.002,0.028,85,9,False,0.306523
11,0.002,0.028,86,9,False,0.303625
11,0.002,0.028,87,9,False,0.301115
11,0.002,0.028,88,9,False,0.302513
11,0.002,0.028,89,9,False,0.302024
11,0.002,0.028,90,9,False,0.299062
11,0.002,0.028,91,9,False,0.306176
11,0.002,0.028,92,9,False,0.341061
11,0.002,0.028,93,9,False,0.301029
11,0.002,0.028,94,9,False,0.297531
11,0.002,0.028,95,9,False,0.299157
11,0.002,0.028,96,9,False,0.297772
11,0.002,0.028,97,9,False,0.294235
11,0.002,0.028,98,9,False,0.302129
11,0.002,0.028,99,9,False,0.308787
