distance,physical_error_probability,algorithm,shots,failures,logical_error_rate,ler_wilson_low,ler_wilson_high,wall_seconds_per_shot,round_period_us
3,0.0005,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.028132,0.0
3,0.001,belief_matching,100,1,0.01,0.0017673865655472645,0.0544875247609346,0.023564,0.0
3,0.002,belief_matching,100,2,0.02,0.005501852234968185,0.07001316294199365,0.024243,0.0
3,0.003,belief_matching,100,6,0.06,0.02778574526665662,0.12476968531222507,0.02981,0.0
3,0.005,belief_matching,100,17,0.17,0.10893476059773155,0.25548181233642975,0.029948,0.0
3,0.007,belief_matching,100,15,0.15,0.09305903191162297,0.23283733332157835,0.032076,0.0
3,0.01,belief_matching,100,35,0.35,0.2636410465347802,0.4474573957080203,0.041899,0.0
5,0.0005,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.117194,0.0
5,0.001,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.146505,0.0
5,0.002,belief_matching,100,1,0.01,0.0017673865655472645,0.0544875247609346,0.146469,0.0
5,0.003,belief_matching,100,1,0.01,0.0017673865655472645,0.0544875247609346,0.172996,0.0
5,0.005,belief_matching,100,8,0.08,0.04109296948581091,0.14998266879403072,0.206692,0.0
5,0.007,belief_matching,100,19,0.19,0.1251465399270426,0.27779024070807856,0.227441,0.0
5,0.01,belief_matching,100,45,0.45,0.3561437510640346,0.5475557296835656,0.257298,0.0
7,0.0005,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.353453,0.0
7,0.001,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.422199,0.0
7,0.002,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.519627,0.0
7,0.003,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.747685,0.0
7,0.005,belief_matching,100,9,0.09,0.04807199516388488,0.16226374696643667,0.761731,0.0
7,0.007,belief_matching,100,18,0.18,0.11700131654251038,0.26667536024213084,0.724743,0.0
7,0.01,belief_matching,100,41,0.41,0.31867157095664655,0.5079874943890338,0.749,0.0
9,0.0005,belief_matching,100,0,0.0,0.0,0.03699480747600191,0.872682,0.0
9,0.001,belief_matching,100,0,0.0,0.0,0.03699480747600191,1.143509,0.0
9,0.002,belief_matching,100,0,0.0,0.0,0.03699480747600191,1.416759,0.0
9,0.003,belief_matching,100,0,0.0,0.0,0.03699480747600191,1.599308,0.0
9,0.005,belief_matching,100,7,0.07,0.034318824364064096,0.13749671006529757,1.64484,0.0
9,0.007,belief_matching,100,16,0.16,0.10095202349473717,0.24420444558894414,1.643499,0.0
9,0.01,belief_matching,100,44,0.44,0.34671865400968327,0.537720722887437,1.638298,0.0
11,0.0005,belief_matching,100,0,0.0,0.0,0.03699480747600191,2.005509,0.0
11,0.001,belief_matching,100,0,0.0,0.0,0.03699480747600191,2.514961,0.0
11,0.002,belief_matching,100,0,0.0,0.0,0.03699480747600191,3.110613,0.0
11,0.003,belief_matching,100,1,0.01,0.0017673865655472645,0.0544875247609346,3.242186,0.0
11,0.005,belief_matching,100,4,0.04,0.015663050551848016,0.09837217232607373,3.312946,0.0
11,0.007,belief_matching,100,17,0.17,0.10893476059773155,0.25548181233642975,3.309755,0.0
11,0.01,belief_matching,100,38,0.38,0.2909744920013438,0.47790426179289663,3.213066,0.0
