distance,physical_error_probability,algorithm,seed,windows,logical_failure,wall_seconds
7,0.003,belief_matching,0,9,False,19.948358
7,0.003,belief_matching,1,9,False,0.516
7,0.003,belief_matching,2,9,False,0.606231
7,0.003,belief_matching,3,9,False,0.363439
7,0.003,belief_matching,4,9,False,0.338986
7,0.003,belief_matching,5,9,False,0.519885
7,0.003,belief_matching,6,9,False,0.546067
7,0.003,belief_matching,7,9,False,0.453849
7,0.003,belief_matching,8,9,False,0.554764
7,0.003,belief_matching,9,9,False,0.565853
7,0.003,belief_matching,10,9,False,0.511386
7,0.003,belief_matching,11,9,False,0.660408
7,0.003,belief_matching,12,9,False,0.465984
7,0.003,belief_matching,13,9,False,0.514984
7,0.003,belief_matching,14,9,False,0.61709
7,0.003,belief_matching,15,9,False,0.57834
7,0.003,belief_matching,16,9,False,0.562997
7,0.003,belief_matching,17,9,False,0.435932
7,0.003,belief_matching,18,9,False,0.573696
7,0.003,belief_matching,19,9,False,0.552869
7,0.003,belief_matching,20,9,False,0.470541
7,0.003,belief_matching,21,9,False,0.533629
7,0.003,belief_matching,22,9,False,0.674103
7,0.003,belief_matching,23,9,False,0.672684
7,0.003,belief_matching,24,9,False,0.575841
7,0.003,belief_matching,25,9,False,0.50382
7,0.003,belief_matching,26,9,False,0.405033
7,0.003,belief_matching,27,9,False,0.549864
7,0.003,belief_matching,28,9,False,0.595196
7,0.003,belief_matching,29,9,False,0.649327
7,0.003,belief_matching,30,9,False,0.627272
7,0.003,belief_matching,31,9,False,0.687284
7,0.003,belief_matching,32,9,False,0.516845
7,0.003,belief_matching,33,9,False,0.600538
7,0.003,belief_matching,34,9,False,0.565905
7,0.003,belief_matching,35,9,False,0.668544
7,0.003,belief_matching,36,9,False,0.53201
7,0.003,belief_matching,37,9,False,0.490668
7,0.003,belief_matching,38,9,False,0.588622
7,0.003,belief_matching,39,9,False,0.622419
7,0.003,belief_matching,40,9,False,0.524119
7,0.003,belief_matching,41,9,False,0.538952
7,0.003,belief_matching,42,9,False,0.53765
7,0.003,belief_matching,43,9,False,0.633346
7,0.003,belief_matching,44,9,False,0.663318
7,0.003,belief_matching,45,9,False,0.441935
7,0.003,belief_matching,46,9,False,0.575992
7,0.003,belief_matching,47,9,False,0.504161
7,0.003,belief_matching,48,9,False,0.502064
7,0.003,belief_matching,49,9,False,0.414996
7,0.003,belief_matching,50,9,False,0.654796
7,0.003,belief_matching,51,9,False,0.530852
7,0.003,belief_matching,52,9,False,0.67622
7,0.003,belief_matching,53,9,False,0.676097
7,0.003,belief_matching,54,9,False,0.452498
7,0.003,belief_matching,55,9,False,0.506591
7,0.003,belief_matching,56,9,False,0.526873
7,0.003,belief_matching,57,9,False,0.622144
7,0.003,belief_matching,58,9,False,0.652784
7,0.003,belief_matching,59,9,False,0.500839
7,0.003,belief_matching,60,9,False,0.537365
7,0.003,belief_matching,61,9,False,0.590456
7,0.003,belief_matching,62,9,False,0.467397
7,0.003,belief_matching,63,9,False,0.569185
7,0.003,belief_matching,64,9,False,0.554366
7,0.003,belief_matching,65,9,False,0.531137
7,0.003,belief_matching,66,9,False,0.611049
7,0.003,belief_matching,67,9,False,0.417135
7,0.003,belief_matching,68,9,False,0.52053
7,0.003,belief_matching,69,9,False,0.67468
7,0.003,belief_matching,70,9,False,0.677324
7,0.003,belief_matching,71,9,False,0.590948
7,0.003,belief_matching,72,9,False,0.613118
7,0.003,belief_matching,73,9,False,0.535003
7,0.003,belief_matching,74,9,False,0.499882
7,0.003,belief_matching,75,9,False,0.632347
7,0.003,belief_matching,76,9,False,0.489997
7,0.003,belief_matching,77,9,False,0.641652
7,0.003,belief_matching,78,9,False,0.331676
7,0.003,belief_matching,79,9,False,0.682538
7,0.003,belief_matching,80,9,False,0.465774
7,0.003,belief_matching,81,9,False,0.548933
7,0.003,belief_matching,82,9,False,0.581178
7,0.003,belief_matching,83,9,False,0.619132
7,0.003,belief_matching,84,9,False,0.466243
7,0.003,belief_matching,85,9,False,0.569996
7,0.003,belief_matching,86,9,False,0.625932
7,0.003,belief_matching,87,9,False,0.53429
7,0.003,belief_matching,88,9,False,0.512083
7,0.003,belief_matching,89,9,False,0.551237
7,0.003,belief_matching,90,9,False,0.646436
7,0.003,belief_matching,91,9,False,0.536911
7,0.003,belief_matching,92,9,False,0.485972
7,0.003,belief_matching,93,9,False,0.66523
7,0.003,belief_matching,94,9,False,0.599602
7,0.003,belief_matching,95,9,False,0.603897
7,0.003,belief_matching,96,9,False,0.496912
7,0.003,belief_matching,97,9,False,0.623998
7,0.003,belief_matching,98,9,False,0.387504
7,0.003,belief_matching,99,9,False,0.525993
